epoch,train_mse,val_mae,val_rmse,val_r2,val_mae_E,val_rmse_E,val_r2_E,val_mae_R,val_rmse_R,val_r2_R,test_mae,test_rmse,test_r2,test_mae_E,test_rmse_E,test_r2_E,test_mae_R,test_rmse_R,test_r2_R
69,0.00863653,0.06075554,0.10904339,0.89557287,0.05736399,0.09604618,0.90969487,0.06414708,0.12064846,0.88408497,0.05434434,0.09271765,0.92671233,0.05208902,0.07483865,0.94243237,0.05659965,0.10766755,0.91557359
70,0.00862410,0.05836166,0.10620971,0.90092978,0.05553202,0.09451355,0.91255391,0.06119131,0.11673985,0.89147384,0.05195850,0.08968920,0.93142175,0.05291324,0.07653039,0.93980030,0.05100376,0.10115040,0.92548497
71,0.00835539,0.05953187,0.10683383,0.89976203,0.05836140,0.09747588,0.90698638,0.06070234,0.11543563,0.89388520,0.05352392,0.09251444,0.92703322,0.05305772,0.07552303,0.94137467,0.05399011,0.10683687,0.91687131
72,0.00836117,0.05726144,0.10450428,0.90408581,0.05383749,0.09232804,0.91655133,0.06068539,0.11540287,0.89394543,0.05109510,0.08917668,0.93220327,0.05002594,0.07275094,0.94559939,0.05216426,0.10301583,0.92271119
73,0.00823545,0.05862010,0.10658716,0.90022436,0.05576277,0.09480646,0.91201106,0.06147743,0.11718951,0.89063618,0.05289974,0.09123665,0.92903490,0.05164767,0.07415039,0.94348635,0.05415181,0.10559343,0.91879506
74,0.00810164,0.05931320,0.10677812,0.89986653,0.05611828,0.09548290,0.91075098,0.06250812,0.11698782,0.89101231,0.05403940,0.09272008,0.92670848,0.05218213,0.07471359,0.94262460,0.05589666,0.10775856,0.91543081
75,0.00795656,0.05976667,0.10716925,0.89913161,0.05845572,0.09811036,0.90577158,0.06107761,0.11551993,0.89373017,0.05515138,0.09461787,0.92367752,0.05351562,0.07658300,0.93971751,0.05678714,0.10972752,0.91231208
76,0.00781351,0.05674895,0.10393776,0.90512289,0.05439429,0.09409370,0.91332910,0.05910360,0.11292694,0.89844735,0.05155159,0.08983934,0.93119195,0.05150859,0.07369495,0.94417845,0.05159459,0.10349526,0.92199013
77,0.00763228,0.05631491,0.10243868,0.90783995,0.05506324,0.09397033,0.91355623,0.05756658,0.11025854,0.90318991,0.05097355,0.08964722,0.93148593,0.04992307,0.07195839,0.94677823,0.05202403,0.10438026,0.92065028
78,0.00758605,0.05681054,0.10392636,0.90514372,0.05591714,0.09456646,0.91245599,0.05770394,0.11251027,0.89919537,0.05268346,0.09092766,0.92951477,0.05276097,0.07547960,0.94144208,0.05260595,0.10410816,0.92106344
79,0.00735525,0.05681013,0.10289556,0.90701606,0.05558738,0.09405774,0.91339533,0.05803288,0.11103212,0.90182668,0.05235979,0.09109991,0.92924746,0.05093689,0.07315829,0.94498850,0.05378270,0.10604835,0.91809385
80,0.00734168,0.05824173,0.10532094,0.90258088,0.05688896,0.09549919,0.91072054,0.05959450,0.11430183,0.89595948,0.05370095,0.09176104,0.92821682,0.05236553,0.07435732,0.94317049,0.05503638,0.10635396,0.91762111
