epoch,train_mse,val_mae,val_rmse,val_r2,val_mae_E,val_rmse_E,val_r2_E,val_mae_R,val_rmse_R,val_r2_R,test_mae,test_rmse,test_r2,test_mae_E,test_rmse_E,test_r2_E,test_mae_R,test_rmse_R,test_r2_R
98,0.00172887,0.03856845,0.08132676,0.94191264,0.03685930,0.05987927,0.96490016,0.04027760,0.09819652,0.92321289,0.03387026,0.05469273,0.97449852,0.03738904,0.05683709,0.96679602,0.03035148,0.05246080,0.97995627
99,0.00177793,0.03773979,0.08008065,0.94367906,0.03472233,0.05781890,0.96727408,0.04075724,0.09737965,0.92448511,0.03292290,0.05329208,0.97578795,0.03436153,0.05329575,0.97080478,0.03148427,0.05328841,0.97931887
100,0.00172242,0.03921540,0.08220099,0.94065709,0.03518940,0.06000138,0.96475686,0.04324140,0.09956827,0.92105255,0.03530928,0.05767603,0.97164061,0.03606047,0.05560550,0.96821941,0.03455809,0.05967477,0.97406476
101,0.00169734,0.03550934,0.07829865,0.94615774,0.03259272,0.05574461,0.96958008,0.03842595,0.09567599,0.92710427,0.03392534,0.05516866,0.97405277,0.03635360,0.05611975,0.96762886,0.03149708,0.05420088,0.97860456
102,0.00175964,0.03740902,0.08123374,0.94204544,0.03592000,0.06194351,0.96243842,0.03889804,0.09675145,0.92545628,0.03446398,0.05664603,0.97264448,0.03698398,0.05708123,0.96651016,0.03194398,0.05620745,0.97699107
103,0.00167918,0.03760605,0.08031160,0.94335374,0.03398434,0.05802509,0.96704025,0.04122776,0.09763706,0.92408536,0.03529151,0.05759947,0.97171585,0.03770479,0.05841090,0.96493174,0.03287823,0.05677645,0.97652286
104,0.00163619,0.03629295,0.07912084,0.94502105,0.03335107,0.05637567,0.96888745,0.03923483,0.09665401,0.92560634,0.03222245,0.05313379,0.97593158,0.03385382,0.05209917,0.97210104,0.03059108,0.05414864,0.97864578
105,0.00168459,0.03723765,0.08041011,0.94321469,0.03441277,0.05848632,0.96651419,0.04006253,0.09752396,0.92426114,0.03252613,0.05358117,0.97552456,0.03363715,0.05227725,0.97190999,0.03141511,0.05485411,0.97808573
106,0.00161607,0.03659692,0.07874170,0.94554669,0.03352344,0.05622814,0.96905007,0.03967040,0.09611923,0.92642730,0.03276544,0.05371248,0.97540445,0.03357997,0.05199576,0.97221168,0.03195091,0.05537600,0.97766675
107,0.00162869,0.03847336,0.08168785,0.94139568,0.03640950,0.06057113,0.96408436,0.04053721,0.09837148,0.92293902,0.03365851,0.05554401,0.97369850,0.03567871,0.05556411,0.96826671,0.03163831,0.05552390,0.97754730
108,0.00167338,0.03595422,0.07865530,0.94566613,0.03395888,0.05762522,0.96749296,0.03794957,0.09514539,0.92791055,0.03200123,0.05234469,0.97664115,0.03377548,0.05243178,0.97174368,0.03022698,0.05225745,0.98011136
109,0.00159881,0.03825432,0.08121283,0.94207527,0.03634232,0.06089210,0.96370272,0.04016633,0.09738173,0.92448189,0.03424354,0.05607844,0.97318993,0.03655939,0.05656533,0.96711278,0.03192770,0.05558728,0.97749601
110,0.00160257,0.03959951,0.08236972,0.94041323,0.03661106,0.06042361,0.96425910,0.04258795,0.09959181,0.92101522,0.03460332,0.05715298,0.97215265,0.03606882,0.05581596,0.96797838,0.03313783,0.05845943,0.97511040
111,0.00162558,0.03888753,0.08291795,0.93961740,0.03528371,0.06032868,0.96437130,0.04249134,0.10055457,0.91948073,0.03508557,0.05828292,0.97104066,0.03652147,0.05692100,0.96669791,0.03364968,0.05961373,0.97411780
112,0.00163141,0.03682090,0.07966396,0.94426365,0.03437380,0.05750489,0.96762857,0.03926800,0.09688075,0.92525689,0.03375803,0.05655754,0.97272988,0.03449151,0.05406457,0.96995640,0.03302455,0.05894516,0.97469508
113,0.00159054,0.03835541,0.08064020,0.94288925,0.03598036,0.05992698,0.96484420,0.04073046,0.09702804,0.92502946,0.03347164,0.05432505,0.97484025,0.03591435,0.05527947,0.96859100,0.03102894,0.05335356,0.97926827
114,0.00154705,0.03726102,0.08090994,0.94250654,0.03482656,0.05856759,0.96642106,0.03969547,0.09829890,0.92305269,0.03394568,0.05512282,0.97409588,0.03543660,0.05448038,0.96949250,0.03245476,0.05575786,0.97735769
115,0.00158615,0.03856082,0.08210859,0.94079043,0.03601671,0.05997158,0.96479185,0.04110492,0.09943365,0.92126589,0.03329528,0.05451705,0.97466209,0.03393300,0.05208227,0.97211913,0.03265755,0.05684764,0.97646395
116,0.00154833,0.03624761,0.07944998,0.94456268,0.03422408,0.05905474,0.96586013,0.03827113,0.09558836,0.92723774,0.03510305,0.05983086,0.96948197,0.03718167,0.05907265,0.96413264,0.03302444,0.06057957,0.97327233
